index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
815,\src\com\eteks\sweethome3d\io\HomeFileRecorder.java,HomeFileRecorder,328,6,5,0,2,FALSE,FALSE,3,TRUE,FALSE,10,4,18,19,TRUE,FALSE,FALSE,TRUE,FALSE,public,3,0,2,FALSE,Service Provider
816,\src\com\eteks\sweethome3d\io\HomeURLContent.java,HomeURLContent,30,0,0,0,0,FALSE,FALSE,5,FALSE,FALSE,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
817,\src\com\eteks\sweethome3d\io\HomeXMLExporter.java,HomeXMLExporter,641,3,25,1,2,FALSE,FALSE,5,TRUE,FALSE,26,53,27,207,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,3,20,FALSE,Service Provider
818,\src\com\eteks\sweethome3d\io\HomeXMLExporter.PieceOfFurnitureExporter.java,PieceOfFurnitureExporter,158,0,2,0,0,FALSE,FALSE,4,TRUE,FALSE,9,4,9,76,TRUE,FALSE,TRUE,TRUE,FALSE,protected,0,0,2,FALSE,Service Provider
819,\src\com\eteks\sweethome3d\io\HomeXMLHandler.java,HomeXMLHandler,1708,26,45,14,2,FALSE,FALSE,5,TRUE,FALSE,110,98,46,95,TRUE,FALSE,FALSE,TRUE,FALSE,public,6,25,13,FALSE,Controller
820,\src\com\eteks\sweethome3d\io\HomeXMLHandler.JoinedWall.java,JoinedWall,374,3,3,0,3,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,0,0,FALSE,Information Holder
821,\src\com\eteks\sweethome3d\io\ObjectXMLExporter.java,ObjectXMLExporter,63,0,4,0,1,FALSE,FALSE,5,TRUE,FALSE,1,7,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,0,3,TRUE,Service Provider
822,\src\com\eteks\sweethome3d\io\URLContentClassLoader.java,URLContentClassLoader,46,1,1,0,1,FALSE,FALSE,6,TRUE,FALSE,0,1,5,1,TRUE,FALSE,FALSE,TRUE,FALSE,default,1,0,0,FALSE,Service Provider
823,\src\com\eteks\sweethome3d\io\XMLWriter.java,XMLWriter,218,3,20,0,0,FALSE,FALSE,4,TRUE,FALSE,13,38,6,5,TRUE,FALSE,FALSE,TRUE,FALSE,public,18,2,0,FALSE,Service Provider
824,\src\com\eteks\sweethome3d\j3d\Component3DManager.java,Component3DManager,355,6,11,1,8,FALSE,FALSE,3,TRUE,FALSE,20,12,27,21,TRUE,FALSE,FALSE,TRUE,FALSE,public,9,2,0,FALSE,Service Provider
